ID,Movie name,Movie languages,Movie countries,Movie genres,Movie release year,averageRating,numVotes,winner,nominated,Movie release era
250012,Pale Rider,English Language,United States of America,"['Crime Fiction', 'Thriller', 'Existentialism', 'Action/Adventure', 'Western', 'Drama', 'Action']",1985.0,7.3,60212,0,1,199.0
2023704,The Bone Collector,English Language,United States of America,"['Crime Fiction', 'Thriller', 'Psychological thriller', 'Action/Adventure', 'Mystery', 'Drama', 'Crime Thriller', 'Action']",1999.0,8.2,9,1,1,197.0
9650057,Nenjinile,Tamil Language,India,['Action'],1999.0,6.9,622,0,0,200.0
1480747,House Party 2,English Language,United States of America,"['Cult', 'Coming of age', 'Comedy', 'Teen']",1991.0,5.2,6685,0,0,200.0
683122,Bambi,English Language,United States of America,"['Adventure', ""Children's/Family"", 'Animation', 'Coming of age', ""Children's Fantasy"", 'Animated Musical', 'Drama', 'Fantasy', 'Family Film']",1942.0,7.3,143930,0,0,200.0
13210849,Alvarez Kelly,English Language,United States of America,"['Action/Adventure', 'Costume drama', 'Western', 'Cavalry Film', 'War film']",1966.0,6.3,2531,1,2,
8648797,Terminal City Ricochet,English Language,Canada,"['Black comedy', 'Science Fiction', 'Indie', 'Dystopia']",1990.0,5.8,160,0,0,200.0
28321756,A Woman Alone,English Language,United States of America,['Drama'],1936.0,6.1,29,0,0,
15349690,Nameless,German Language,Austria,['Silent film'],1923.0,4.6,5,0,0,198.0
12183290,Strange Behavior,English Language,United States of America,"['Thriller', 'Horror', 'Psychological thriller', 'Comedy', 'Slasher', 'Teen']",1981.0,5.6,2111,1,1,200.0
26723356,Tension at Table Rock,English Language,United States of America,"['Western', 'Drama']",1956.0,6.5,626,0,0,199.0
12347651,Shadows Run Black,English Language,United States of America,"['Thriller', 'B-movie', 'Horror', 'Indie', 'Slasher']",1986.0,3.1,477,0,0,
19204182,A French Mistress,English Language,United Kingdom,['Comedy'],1961.0,5.8,189,0,0,
8219325,Get Smart,Russian Language,United States of America,"['Romantic comedy', 'Parody', 'Action Comedy', 'Action/Adventure', 'Comedy', 'Action']",2008.0,8.2,12684,1,4,193.0
62688,Foreign Correspondent,Dutch Language,United States of America,"['Thriller', 'Political thriller', 'Spy', 'Black-and-white', 'War film']",1940.0,7.5,21290,0,0,197.0
4734763,Chain,English Language,United States of America,['Documentary'],2004.0,8.2,6,0,0,201.0
23499382,Her Husband's Trademark,Silent film,United States of America,"['Silent film', 'Drama', 'Black-and-white']",1922.0,6.1,18,0,0,199.0
129295,Fatal Attraction,English Language,United States of America,"['Thriller', 'Horror', 'Mystery', 'Psychological thriller', 'Erotic thriller', 'Drama', 'Suspense', 'Slasher']",1987.0,6.9,87666,0,1,197.0
16796262,The Man from Downing Street,Silent film,United States of America,"['Silent film', 'Adventure', 'Black-and-white']",1922.0,6.2,17,0,0,195.0
